area_type,availability,location,size,society,total_sqft,bath,balcony,price
Built-up  Area,Ready To Move,Attibele,4 Bedroom,Natic T,1600.0,4.0,0.0,52.8
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,Unknown,1464.0,3.0,2.0,46.0
Super built-up  Area,18-Oct,Hennur Road,3 BHK,DSapeSk,1866.0,2.0,2.0,61.58
Super built-up  Area,Ready To Move,Geleyara Balaga Layout,2 BHK,Jahtsa ,700.0,1.0,1.0,26.0
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,Prillot,1804.0,3.0,2.0,120.0
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,Unknown,913.0,2.0,1.0,32.0
Super built-up  Area,21-Dec,Talaghattapura,3 BHK,Sodgere,1868.0,3.0,2.0,131.0
Built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,Unknown,883.0,2.0,1.0,45.0
Plot  Area,Ready To Move,Sundara Nagar,2 Bedroom,Unknown,900.0,2.0,1.0,110.0
Super built-up  Area,Ready To Move,Kogilu,3 BHK,Unknown,1664.0,2.0,3.0,73.95
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoitaCa,2026.0,3.0,2.0,132.0
Super built-up  Area,Ready To Move,Balagere,2 BHK,Soestin,1210.0,2.0,1.0,80.9
Plot  Area,Ready To Move,Meenakunte,4 Bedroom,Sreat R,2490.0,4.0,2.0,225.0
Super built-up  Area,Ready To Move,Kadugodi,3 BHK,Alestrb,1762.0,3.0,3.0,91.45
Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsen,1252.0,3.0,3.0,55.0
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,2 BHK,Mauner ,861.0,2.0,1.0,34.5
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brnia G,1420.0,2.0,1.0,100.0
Plot  Area,Ready To Move,Srirampura,6 Bedroom,Unknown,1450.0,4.5,0.0,225.0
Built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,GaicaVe,1490.0,3.0,1.0,78.8
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Unknown,1075.0,2.0,1.0,46.0
Super built-up  Area,18-Aug,Old Madras Road,3 BHK,Saesttt,1425.0,2.0,2.0,94.0
Built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,Nae 2El,1200.0,2.0,1.0,40.0
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Unknown,1280.0,2.0,2.0,56.0
Super built-up  Area,Ready To Move,Silver Springs Layout,2 BHK,Bhinglv,1084.0,2.0,2.0,50.0
Super built-up  Area,18-Jul,Chandapura,2 BHK,SunceEs,1015.0,2.0,2.0,25.88
Super built-up  Area,21-May,Kanakpura Road,2 BHK,GolusLi,1017.0,2.0,1.0,51.25
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,Unknown,1027.0,2.0,2.0,44.0
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Coush W,1069.0,2.0,2.0,45.0
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Prersis,1349.0,2.0,1.0,98.2
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,NaensGa,1005.0,2.0,1.0,50.0
Super built-up  Area,Ready To Move,Jakkur,2 BHK,Arzzo P,1417.0,2.0,3.0,75.0
Plot  Area,18-Jan,TC Palaya,3 Bedroom,Unknown,1475.0,3.0,1.0,98.0
Carpet  Area,Ready To Move,Maruthi Sevanagar,2 BHK,SMikaay,950.0,2.0,2.0,47.0
Super built-up  Area,Ready To Move,RMV 2nd Stage,4 BHK,Prave E,2000.0,4.0,0.0,120.0
Plot  Area,Ready To Move,Giri Nagar,3 Bedroom,Unknown,880.0,3.0,1.0,140.0
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Ahriaup,1863.0,3.0,2.0,104.0
Super built-up  Area,Ready To Move,Singasandra,2 BHK,Priewhi,1010.0,2.0,1.0,29.5
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,Shodsth,1425.0,2.0,1.0,70.0
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,Swadeh ,1450.0,3.0,0.0,100.0
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1847.0,3.0,2.0,105.0
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,Soran U,1100.0,2.0,3.0,45.0
Super built-up  Area,20-Dec,Kanakpura Road,1 BHK,PrarePa,525.0,1.0,1.0,26.0
Super built-up  Area,Ready To Move,Mallasandra,3 BHK,Puestig,1665.0,3.0,2.0,95.0
Super built-up  Area,Ready To Move,Begur,4 BHK,Prntsrt,1664.0,4.0,3.0,65.0
Super built-up  Area,Ready To Move,JP Nagar,3 BHK,Maerar ,1850.0,3.0,3.0,150.0
Super built-up  Area,Ready To Move,Panathur,2 BHK,Vaesh T,1438.0,2.0,3.0,100.0
Super built-up  Area,Ready To Move,Sunder Ram Shetty Nagar,3 BHK,MaisePa,1560.0,3.0,3.0,115.0
Super built-up  Area,18-Apr,Yelahanka,2 BHK,Unknown,1350.0,2.0,1.0,55.55
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1550.0,3.0,3.0,67.0
Super built-up  Area,18-Apr,Malleshpalya,2 BHK,Unknown,1140.0,2.0,2.0,46.5
Plot  Area,Ready To Move,Srirampura,5 Bedroom,Unknown,1200.0,4.5,2.0,180.0
Super built-up  Area,18-Dec,Kodathi,2 BHK,Unknown,850.0,2.0,2.0,27.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Gotis A,1280.0,2.0,2.0,75.0
Built-up  Area,Ready To Move,Munnekollal,2 BHK,Unknown,1170.0,2.0,2.0,52.0
Super built-up  Area,Ready To Move,Motappa Layout,2 BHK,Puodse ,1113.0,2.0,1.0,51.0
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Mileeou,1385.0,2.0,1.0,83.09
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1128.0,2.0,1.0,65.0
Plot  Area,Ready To Move,Marathahalli,2 Bedroom,Unknown,1200.0,2.0,2.0,128.0
Plot  Area,Ready To Move,Akshaya Vana,4 Bedroom,Unknown,1200.0,4.0,3.0,165.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2390.0,3.0,2.0,225.0
Plot  Area,Ready To Move,Giri Nagar,4 Bedroom,Unknown,2400.0,4.0,1.0,225.0
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NRowse ,1464.0,3.0,2.0,56.0
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,Unknown,1200.0,2.0,2.0,55.0
Super built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,Abncy R,1200.0,2.0,2.0,52.0
Super built-up  Area,Ready To Move,Kaggalipura,3 BHK,Baowsig,1150.0,2.0,1.0,55.0
Built-up  Area,Ready To Move,Basavanna Nagar,3 BHK,Itala A,1645.0,3.0,2.0,95.0
Super built-up  Area,20-Mar,Sarjapur  Road,2 BHK,Unknown,1000.0,2.0,1.0,67.0
Plot  Area,Ready To Move,Haralur Road,4 Bedroom,Unknown,2490.0,4.0,2.0,198.0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,HMinebo,1192.0,2.0,2.0,74.0
Super built-up  Area,Ready To Move,Ulsoor,3 BHK,K borja,2135.0,3.0,2.0,215.0
Super built-up  Area,19-Dec,Whitefield,2 BHK,Oreldhi,1173.0,2.0,1.0,58.0
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Sungspr,1020.0,2.0,2.0,45.0
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,2490.0,4.5,2.0,225.0
Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,Unknown,1600.0,3.0,3.0,64.0
Plot  Area,18-Mar,T.C PALYA,2 Bedroom,Unknown,1200.0,2.0,0.0,79.0
Carpet  Area,Ready To Move,Muneshwara Nagar,2 BHK,Unknown,1230.0,2.0,3.0,48.0
Super built-up  Area,Ready To Move, Devarachikkanahalli,2 BHK,Clntsrt,1250.0,2.0,2.0,40.0
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,PuamaPa,1325.0,2.0,2.0,76.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brngsal,1850.0,3.0,1.0,150.0
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,PrarePa,525.0,2.0,2.0,21.53
Super built-up  Area,Ready To Move,Basaveshwara Nagar,2 BHK,Unknown,1200.0,2.0,2.0,65.0
Plot  Area,Ready To Move,Bull Temple Road,3 Bedroom,Unknown,1350.0,2.0,0.0,140.0
Super built-up  Area,18-Jun,Bommasandra,3 BHK,SSestth,1260.0,3.0,1.0,49.36
Super built-up  Area,Ready To Move,Prashanth Nagar,3 BHK,Vancy R,1800.0,3.0,0.0,150.0
Plot  Area,18-Dec,Suragajakkanahalli,3 Bedroom,PrhyaK ,266.0,3.0,2.0,74.0
Built-up  Area,Ready To Move,Ardendale,2 BHK,Miwel M,1100.0,2.0,1.0,43.25
Super built-up  Area,Ready To Move,Harlur,2 BHK,SrEndPo,1508.0,2.0,1.0,77.0
Carpet  Area,Ready To Move,Sampigehalli,3 BHK,Puens G,1592.0,3.0,2.0,75.0
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,SagasSa,1388.0,2.0,3.0,57.0
Super built-up  Area,18-May,Electronic City Phase II,1 BHK,SNbay G,630.0,1.0,1.0,28.35
Plot  Area,Ready To Move,RMV,3 Bedroom,Unknown,2000.0,3.0,2.0,225.0
Super built-up  Area,Ready To Move,Banashankari3rd stage bigbazar,3 BHK,Unknown,1762.0,3.0,1.0,125.0
Super built-up  Area,21-Dec,Bagalur Main Road,2 BHK,Unknown,950.0,2.0,2.0,50.0
Super built-up  Area,Ready To Move,Kodihalli,4 BHK,Soianal,2490.0,4.5,3.0,225.0
Super built-up  Area,18-Aug,Magadi Road,2 BHK,Vrenty ,1116.0,2.0,1.0,50.0
Super built-up  Area,Ready To Move,Narayanapura,2 BHK,AriosHe,1308.0,2.0,2.0,89.04
Super built-up  Area,Ready To Move,MS Pallya,3 BHK,Unknown,1200.0,3.0,0.0,90.0
Plot  Area,Ready To Move,Binny Mills Employees Colony,4 Bedroom,Unknown,1500.0,4.0,2.0,225.0
Built-up  Area,Ready To Move,Bannerghatta Road,1 BHK,Unknown,500.0,1.0,1.0,18.5
Super built-up  Area,Ready To Move,Hennur,2 BHK,SLureSi,1075.0,2.0,1.0,52.0
Super built-up  Area,18-Mar,Chandapura,1 BHK,Siissi ,530.0,1.0,0.0,11.66
Built-up  Area,Ready To Move,Bellandur,2 BHK,Unknown,1205.0,2.0,3.0,66.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Mangsr ,1075.0,2.0,2.0,60.0
Built-up  Area,Ready To Move,KR Puram,2 BHK,HovasTe,930.0,2.0,2.0,39.0
Super built-up  Area,Ready To Move,Balagere,2 BHK,Exncene,1380.0,2.0,1.0,60.0
Super built-up  Area,Ready To Move,Hebbal,4 BHK,Prersis,2483.0,4.5,2.0,212.0
Built-up  Area,Ready To Move,Kodigehaali,2 BHK,Shyas S,1166.0,2.0,2.0,55.0
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,NadelCi,1050.0,2.0,1.0,65.0
Super built-up  Area,19-Mar,Gopalapura,3 BHK,Sothadr,2023.71,3.0,2.0,225.0
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200.0,2.0,2.0,46.8
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,Puarent,1600.0,2.0,1.0,108.0
Super built-up  Area,Ready To Move,Billekahalli,3 BHK,MaionPa,1935.0,3.0,2.0,110.0
Super built-up  Area,18-May,8th Phase JP Nagar,1 BHK,Maian M,451.0,1.0,0.0,29.9
Super built-up  Area,Ready To Move,Electronic City,3 BHK,ShstaAl,1800.0,3.0,2.0,95.0
Super built-up  Area,18-May,Jalahalli,3 BHK,Shard T,1400.0,3.0,0.0,77.0
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoitaCa,1801.0,3.0,2.0,115.0
Built-up  Area,Ready To Move,Mahadevpura,2 BHK,Neagar ,1451.0,2.0,2.0,90.0
Plot  Area,19-Jan,Anekal,2 Bedroom,Unknown,1200.0,1.0,1.0,36.0
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1160.0,2.0,2.0,44.0
Built-up  Area,Ready To Move,Kengeri,2 BHK,Unknown,1000.0,2.0,1.0,25.0
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Wiowsri,950.0,2.0,1.0,40.0
Built-up  Area,20-Dec,"Hoodi Circle, ",3 BHK,Unknown,1629.0,3.0,2.0,79.0
Built-up  Area,Ready To Move,Vijayanagar,3 BHK,Unknown,1580.0,2.0,0.0,134.0
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saityat,1826.0,3.0,2.0,121.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Eladero,1245.0,2.0,1.0,94.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Lancyey,1145.0,2.0,2.0,45.79
Super built-up  Area,Ready To Move,Sompura,2 BHK,Suiseit,825.0,2.0,1.0,33.0
Super built-up  Area,18-Aug,Yeshwanthpur,3 BHK,Aroomba,1693.0,3.0,3.0,108.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,Courf T,1113.27,2.0,2.0,53.0
Built-up  Area,Ready To Move,Ashirvad Colony,2 BHK,VMowsea,1460.0,2.0,1.0,58.0
Built-up  Area,Ready To Move,Doddathoguru,2 BHK,S onsMa,1050.0,2.0,1.0,32.0
Built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,Tuentpa,1260.0,2.0,2.0,55.0
Super built-up  Area,Ready To Move,K N Extension,6 BHK,Unknown,700.0,3.0,2.0,120.0
Built-up  Area,Ready To Move,Hosur Road,2 BHK,Tovesee,1656.0,2.0,1.0,120.0
Super built-up  Area,Ready To Move,Chandapura,3 BHK,Vailsaf,1208.0,3.0,1.0,45.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,BrlisCo,1910.0,3.0,2.0,161.0
Super built-up  Area,Ready To Move,Whitefield,4 BHK,Haestt ,2490.0,4.0,1.0,225.0
Plot  Area,Ready To Move,Battarahalli,2 Bedroom,Unknown,1200.0,2.0,1.0,65.0
Super built-up  Area,Ready To Move,Gokula Extension,4 BHK,Unknown,1200.0,4.0,1.0,175.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,1175.0,2.0,1.0,82.0
Plot  Area,Ready To Move,Kamakshipalya,2 Bedroom,Unknown,1000.0,2.0,0.0,165.0
Plot  Area,Ready To Move,Bannerghatta Road,4 Bedroom,Unknown,1200.0,2.0,0.0,125.0
Super built-up  Area,19-Jan,Rajaji Nagar,7 BHK,Unknown,2490.0,4.5,3.0,225.0
Plot  Area,Ready To Move,Sultan Palaya,2 Bedroom,Unknown,550.0,1.0,1.0,62.0
Super built-up  Area,Ready To Move,Kengeri,1 BHK,Unknown,1275.0,1.0,0.0,18.5
Super built-up  Area,Ready To Move,Sanne Amanikere,2 BHK,Hoxiaa ,1185.0,2.0,2.0,38.0
Super built-up  Area,Ready To Move,Kengeri,2 BHK,VBvenal,750.0,2.0,1.0,38.0
Plot  Area,Ready To Move,Mahalakshmi Layout,6 Bedroom,Unknown,1200.0,4.5,3.0,225.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1550.0,3.0,3.0,64.5
Built-up  Area,Ready To Move,Amco Colony,3 BHK,Hoeatan,1760.0,3.0,2.0,88.0
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,Asity S,1125.0,2.0,2.0,62.0
Plot  Area,Ready To Move,Nagarbhavi,3 Bedroom,Unknown,1350.0,3.0,2.0,150.0
Plot  Area,17-Dec,Anandapura,2 Bedroom,Unknown,1000.0,2.0,1.0,55.0
Built-up  Area,18-Aug,Bommasandra Industrial Area,2 BHK,Unknown,1090.0,2.0,2.0,31.48
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,Unknown,1200.0,2.0,0.0,60.0
Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1991.0,4.0,2.0,103.0
Super built-up  Area,18-Oct,Bommasandra,2 BHK,DSoodil,1060.0,2.0,1.0,26.5
Super built-up  Area,Ready To Move,Ambalipura,2 BHK,SJarkte,1105.0,2.0,1.0,75.0
Built-up  Area,Ready To Move,Hoodi,2 BHK,Dhgraas,985.0,2.0,2.0,67.0
Plot  Area,Ready To Move,Chandapura,6 Bedroom,Unknown,1533.0,4.5,3.0,85.0
Super built-up  Area,17-Jul,Balagere,3 BHK,HiqueMa,1590.0,3.0,2.0,79.0
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,Srshq T,1120.0,2.0,2.0,55.0
Super built-up  Area,Ready To Move,Samethanahalli,2 BHK,SPontna,1069.0,2.0,1.0,55.0
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Prionad,1933.0,3.0,2.0,140.0
Built-up  Area,16-Mar,Hosur Road,2 BHK,PuendWe,1194.0,2.0,0.0,69.0
Super built-up  Area,Ready To Move,Brookefield,2 BHK,Danna S,1150.0,2.0,3.0,69.0
Super built-up  Area,Ready To Move,Yelenahalli,2 BHK,Unknown,1240.0,2.0,2.0,47.12
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1419.0,2.0,2.0,48.1
Plot  Area,Ready To Move,7th Phase JP Nagar,8 Bedroom,Unknown,1200.0,4.5,2.0,225.0
Super built-up  Area,Ready To Move,Richmond Town,3 BHK,Bltonin,2150.0,4.0,2.0,225.0
Super built-up  Area,Ready To Move,Suddaguntepalya,3 BHK,MSanaer,1450.0,3.0,2.0,55.0
Super built-up  Area,18-Jul,Udayapur Village,3 BHK,Plowsri,1630.0,3.0,2.0,68.29
Super built-up  Area,Ready To Move,Dasanapura,2 BHK,Tavenew,708.0,1.0,1.0,40.0
Plot  Area,Ready To Move,Kasavanhalli,3 Bedroom,Unknown,1000.0,4.0,3.0,110.0
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Unknown,2490.0,4.0,3.0,225.0
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Ocavees,1250.0,2.0,1.0,76.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brnia G,1400.0,2.0,1.0,95.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Unknown,1670.0,2.0,3.0,57.0
Super built-up  Area,Ready To Move,Ardendale,3 BHK,SoystAm,1750.0,3.0,2.0,100.0
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1404.0,2.0,1.0,71.0
Super built-up  Area,Ready To Move,Hoodi,3 BHK,SMaxyay,1715.0,2.0,2.0,95.0
Built-up  Area,18-Apr,Electronic City,1 BHK,Prarkun,630.0,1.0,1.0,34.65
Super built-up  Area,Ready To Move,Harlur,3 BHK,SosicCl,1752.12,3.0,2.0,135.0
Super built-up  Area,Ready To Move,Hulimavu,3 BHK,Unknown,1650.0,3.0,2.0,78.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1295.0,2.0,1.0,55.47
Plot  Area,Ready To Move,Giri Nagar,3 Bedroom,Bancyri,1800.0,3.0,2.0,225.0
Super built-up  Area,18-Sep,Sarjapur  Road,2 BHK,PualeSk,1346.0,2.0,1.0,74.03
Plot  Area,Ready To Move,Thippasandra,4 Bedroom,Unknown,1200.0,4.0,2.0,200.0
Super built-up  Area,Ready To Move,Hormavu,2 BHK,ElavuHo,1150.0,2.0,2.0,55.0
Built-up  Area,Ready To Move,Chikkabidarakallu,4 Bedroom,Gontyol,2490.0,4.0,3.0,225.0
Super built-up  Area,18-May,Chandapura,3 BHK,SunceEs,1190.0,2.0,2.0,30.35
Super built-up  Area,Ready To Move,AECS Layout,3 BHK,DSutyng,1620.0,3.0,2.0,98.0
Super built-up  Area,18-Apr,Marathahalli,2 BHK,Unknown,950.0,2.0,1.0,46.96
Super built-up  Area,Ready To Move,1 Giri Nagar,11 BHK,Bancyri,2490.0,4.5,3.0,225.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,SrEndPo,2450.0,3.0,0.0,120.0
Super built-up  Area,18-May,Electronic City Phase II,3 BHK,Sryalan,1220.0,2.0,1.0,35.23
Super built-up  Area,Ready To Move,Hoysalanagar,2 BHK,RKntsrt,850.0,2.0,1.0,30.0
Built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,Unknown,1020.0,2.0,2.0,63.0
Built-up  Area,Ready To Move,Chikkalasandra,2 BHK,Unknown,1100.0,2.0,2.0,50.0
Super built-up  Area,Ready To Move,Defence Colony,2 BHK,Vantspa,1150.0,2.0,2.0,126.0
Super built-up  Area,18-Dec,Hebbal,3 BHK,Mahosya,1760.0,2.0,2.0,130.0
Super built-up  Area,Ready To Move,Ambalipura,3 BHK,Unknown,1800.0,3.0,3.0,110.0
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,Unknown,1070.0,2.0,1.0,54.0
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,Unknown,1500.0,4.0,2.0,220.0
Plot  Area,Ready To Move,Vidyaranyapura,2 Bedroom,Unknown,1440.0,2.0,0.0,95.0
Super built-up  Area,Ready To Move,Amruthahalli,2 BHK,Prowsi ,900.0,2.0,1.0,40.0
Built-up  Area,Ready To Move,ITI Employees Layout,4 BHK,Unknown,1200.0,4.0,1.0,225.0
Super built-up  Area,18-May,Whitefield,2 BHK,SMuilan,1130.0,2.0,1.0,42.16
Super built-up  Area,Ready To Move,Koramangala,2 BHK,Proodt ,1320.0,2.0,1.0,165.0
Super built-up  Area,19-Jun,Kodigehalli,2 BHK,Unknown,1270.0,2.0,1.0,98.0
Built-up  Area,Ready To Move,Patelappa Layout,2 BHK,Sryamar,1200.0,2.0,1.0,62.0
Super built-up  Area,Ready To Move,Ring Road Nagarbhavi,4 BHK,Unknown,2490.0,4.0,2.0,225.0
Super built-up  Area,Ready To Move,NS Palya,2 BHK,Unknown,1200.0,2.0,1.0,74.0
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Prldsri,929.0,2.0,0.0,50.17
Built-up  Area,Ready To Move,RMV 2nd Stage,4 BHK,LiaveEn,1150.0,4.0,2.0,225.0
Plot  Area,Ready To Move,Basavangudi,4 Bedroom,Unknown,1125.0,4.0,3.0,180.0
Plot  Area,Ready To Move,Kenchenahalli,5 Bedroom,Unknown,500.0,3.0,2.0,65.0
Plot  Area,Ready To Move,3rd Block Hrbr Layout,5 Bedroom,Bemesrm,1200.0,4.5,2.0,190.0
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,Unknown,1464.0,3.0,2.0,56.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,4 BHK,Unknown,2490.0,4.0,3.0,225.0
Plot  Area,Ready To Move,Bank Avenue,4 Bedroom,Unknown,2000.0,4.0,2.0,99.0
Super built-up  Area,Ready To Move,Chikkalasandra,2 BHK,Unknown,1208.0,2.0,1.0,49.0
Super built-up  Area,Ready To Move,Hebbal Kempapura,2 BHK,Vrensn ,1130.0,2.0,2.0,60.0
Super built-up  Area,Ready To Move,Surabhi Layout,3 BHK,VDdonel,1753.0,3.0,2.0,120.0
Super built-up  Area,Ready To Move,Old Madras Road,5 BHK,Brica E,2490.0,4.5,3.0,225.0
Plot  Area,Ready To Move,Banjara Layout,3 Bedroom,Unknown,600.0,3.0,2.0,58.0
Super built-up  Area,22-Jun,Hoodi,2 BHK,GoAirej,1196.0,2.0,2.0,94.42
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Prenty ,1150.0,3.0,3.0,52.5
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1128.0,2.0,1.0,63.0
Super built-up  Area,Ready To Move,Omkar Nagar,2 BHK,Shinei ,1000.0,2.0,1.0,53.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Apows M,1035.0,2.0,1.0,45.0
Built-up  Area,Ready To Move,Kereguddadahalli,2 BHK,Unknown,950.0,2.0,1.0,32.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075.0,2.0,1.0,36.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SVineun,1040.0,2.0,1.0,48.5
Plot  Area,17-Oct,Maragondanahalli,2 Bedroom,Unknown,720.0,2.0,1.0,45.0
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1511.0,3.0,1.0,95.0
Built-up  Area,Ready To Move,Silk Board,3 BHK,Unknown,1300.0,3.0,1.0,58.0
Super built-up  Area,19-Dec,Hoodi,3 BHK,Caycend,1545.0,3.0,1.0,68.75
Built-up  Area,Ready To Move,Shampura,1 BHK,Unknown,375.0,2.0,0.0,26.0
Super built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,Unknown,1062.0,2.0,3.0,38.0
Super built-up  Area,Ready To Move,Kada Agrahara,2 BHK,Unknown,1115.0,2.0,1.0,40.0
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,DSvvyx ,1000.0,2.0,1.0,35.0
Super built-up  Area,17-May,Kambipura,2 BHK,Prrtht ,883.0,2.0,1.0,45.0
Super built-up  Area,19-Apr,Sarjapur  Road,2 BHK,Brareio,1195.0,2.0,1.0,70.0
Plot  Area,Ready To Move,BHEL Layout,4 Bedroom,Unknown,1200.0,3.0,1.0,165.0
Built-up  Area,Ready To Move,Medahalli,1 Bedroom,Unknown,700.0,1.0,0.0,41.0
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1246.0,2.0,1.0,67.0
Plot  Area,Ready To Move,8th Phase JP Nagar,4 Bedroom,Unknown,660.0,4.0,2.0,90.0
Plot  Area,Ready To Move,Banashankari Stage III,4 Bedroom,Unknown,2490.0,4.0,2.0,145.0
Super built-up  Area,Ready To Move,Kashi Nagar,4 BHK,Unknown,1600.0,4.0,1.0,80.0
Super built-up  Area,18-Dec,Haralur Road,4 BHK,SNnia E,2490.0,4.5,3.0,154.0
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Unknown,1584.0,3.0,2.0,65.0
Plot  Area,Ready To Move,Sector 7 HSR Layout,4 Bedroom,Unknown,2490.0,4.5,1.0,225.0
Built-up  Area,Ready To Move,Hosur Road,3 BHK,Unknown,1175.0,2.0,2.0,48.0
Built-up  Area,19-Jul,"Yemlur, Old Airport Road, ",3 BHK,Unknown,1595.0,3.0,2.0,115.0
Super built-up  Area,Ready To Move,VHBCS Layout,2 BHK,OlarkLa,1353.0,2.0,2.0,110.0
Super built-up  Area,18-Apr,Electronic City,3 BHK,Prarkun,1599.0,3.0,2.0,125.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SuMTBPr,1150.0,2.0,1.0,70.0
Super built-up  Area,17-Dec,Jakkur,4 BHK,Lecco C,2490.0,4.5,1.0,225.0
Super built-up  Area,Ready To Move,KR Puram,2 BHK,Jahidva,1155.0,2.0,2.0,42.74
Built-up  Area,Ready To Move,Ittamadu,1 BHK,Unknown,1200.0,2.0,0.0,85.0
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,Unknown,1000.0,2.0,1.0,25.0
Super built-up  Area,Ready To Move,Thanisandra,4 BHK,Unknown,2490.0,4.0,2.0,120.0
Built-up  Area,Ready To Move,Rajiv Nagar,3 BHK,PuoodSk,1867.0,3.0,1.0,160.0
Super built-up  Area,18-Jun,Ramagondanahalli,2 BHK,ViistLa,1251.0,2.0,1.0,47.0
